metric,orientationStatistic,orientationPValue,genderStatistic,genderPValue,queernessStatistic,queernessPValue,orientationSignificant,genderSignificant,queernessSignificant
liwc_funct,-2.684875208126763,0.008083599784316678,-1.6740668836958446,0.096243866459397,-0.7541106788955453,0.4519571389859004,no,no,no
liwc_pronoun,-0.7146912084871855,0.4759256593662774,-0.8713589397941452,0.3849790567493941,0.8016127553241943,0.42403665282248915,no,no,no
liwc_ppron,-0.2660998483751959,0.7905326589856061,0.0361294445365391,0.9712281598888678,1.3805988217450536,0.16944252902328147,no,no,no
liwc_i,0.9312639081929291,0.35323367716657605,2.7618294946758835,0.0064817249163564,0.8177742063186569,0.41477465432908667,no,no,no
liwc_we,2.5833385183247435,0.010753436525395324,0.1831127409835663,0.8549618733564505,0.643801102353782,0.5206810545124481,no,no,no
liwc_you,2.9780869360624194,0.0033903397291547496,-1.142949436060232,0.2549176231279889,-0.8101413144819658,0.4191338650139216,no,no,no
liwc_shehe,-1.4419285367603127,0.15143526933828233,-1.4515540352375782,0.1487564756205624,0.7001086589964964,0.48493669888834245,no,no,no
liwc_they,-1.2359815790657505,0.2184235049907015,2.377658409897055,0.0187092814775639,2.022623880367755,0.044876998060988015,no,no,no
liwc_ipron,-0.987670078280379,0.32492620177939324,-1.966182995519654,0.0511612322606636,-0.45916317017380637,0.646777294790452,no,no,no
liwc_article,-0.8592741772853064,0.3915789023778541,-2.4778612532099613,0.0143490641334745,-1.5548751513560568,0.12206923987937252,no,no,no
liwc_verb,-1.5763727713319526,0.11707505423489205,1.190168809242979,0.235898599079937,0.1622507673616135,0.8713252976102783,no,no,no
liwc_auxverb,-2.2518481581130594,0.025803811971563045,0.281043189605859,0.779072462517146,-0.8440919106142337,0.399953326435293,no,no,no
liwc_past,-1.451913883163506,0.14864213715579866,0.5590449188504258,0.5769817474854295,0.9390151932879929,0.3492225564252316,no,no,no
liwc_present,-0.3749120901364901,0.7082625449033284,0.7010718340265886,0.4843664881636225,-0.2686060258781168,0.7885995017648164,no,no,no
liwc_future,-0.8676008870324993,0.3870174168158633,0.6677085082282377,0.5053665968461624,-1.3281190744753066,0.18614274593148292,no,no,no
liwc_adverb,-0.4241580391282556,0.6720664448856926,-0.1096943117703706,0.9128014190945198,-1.039727828868248,0.3001283264860095,no,no,no
liwc_preps,-2.933065710299547,0.003890863736926728,-1.7392408300306366,0.0840857320020826,-1.6194840402047945,0.10742983313997674,no,no,no
liwc_conj,-2.50588819062749,0.013296381962618037,0.6305925046096883,0.5292861264990146,0.32591738684572585,0.7449380859482971,no,no,no
liwc_negate,0.4598867545956232,0.6462723846104431,1.6440240235507937,0.1023082476377526,1.9602547175594602,0.05180662562066085,no,no,no
liwc_quant,0.7004338064811273,0.48475608379873614,-0.6710245624046652,0.5032578864408461,1.6105757579922522,0.10936066636652282,no,no,no
liwc_number,-2.1928165669412816,0.029882007070775367,-0.1796395198974988,0.8576829598000434,1.68987480740213,0.09311541729634759,no,no,no
liwc_swear,2.855736205637467,0.004911298888909962,3.157813061887626,0.0019293771547409,2.6143389355865523,0.009845802008126648,no,no,no
liwc_social,-1.649589432120052,0.10114779178084571,-0.1042850613228784,0.917085282186737,1.0590697092795283,0.291259224844376,no,no,no
liwc_family,-0.7709799433590957,0.4419479151714517,-0.9569074818098388,0.3401850424221896,-1.0792253719641012,0.2822081420987949,no,no,no
liwc_friend,1.0419885790086703,0.29911608583684784,0.5716431617457907,0.5684367891179689,-0.4766398269523346,0.6343076391895257,no,no,no
liwc_humans,-1.514285185793529,0.1320862211687281,0.499977707633274,0.6178383821998102,1.5341019612176197,0.1270971510197367,no,no,no
liwc_affect,-1.4647513230013292,0.14510979857225134,-1.5644839370225796,0.1198541873896758,-1.0714762867313494,0.28566488491233294,no,no,no
liwc_posemo,-1.3937687283955327,0.16547673280571595,-0.4671894481087033,0.6410561020233404,-0.518158326209969,0.6051062033445038,no,no,no
liwc_negemo,-0.5104909065536717,0.6104681449247007,-1.9885371122640496,0.04860886012664,-1.057594974303426,0.2919291223050838,no,no,no
liwc_anx,-1.4195302097315452,0.1578473238385465,-0.7091085601265873,0.4793802407508113,-0.8844676105344303,0.37784999460883073,no,no,no
liwc_anger,-0.6752554957903508,0.5005670693161682,-2.1328665827687567,0.0345965789156061,-1.294372539904283,0.19751275491857542,no,no,no
