metric,orientationStatistic,orientationPValue,genderStatistic,genderPValue,queernessStatistic,queernessPValue,orientationSignificant,genderSignificant,queernessSignificant
liwc_funct,1.585824066292332,0.11371154512367541,3.138720911704028,0.0018698608271791,3.508587202737578,0.0005121984367484,no,no,no
liwc_pronoun,1.1446482706329921,0.25316240640475723,3.3944200562855937,0.0007825799828812,2.111329063262471,0.0354865714403394,no,no,no
liwc_ppron,2.65986786223234,0.008188487950453616,4.026031795246416,7.229987034356236e-05,3.78547632354728,0.0001818377316051,no,yes,yes
liwc_i,3.765448674342184,0.0001959309284344044,2.363064273176881,0.0187775817899513,3.5104759999008888,0.0005087029281629,yes,no,no
liwc_we,2.2395931066002572,0.025765255526700153,2.283708482209164,0.0231042332870543,1.354941778847719,0.1763518162741894,no,no,no
liwc_you,-1.5122583571368087,0.13139979359850773,-0.1700289798131659,0.8651046856186213,-2.0761010497599024,0.0386491631767259,no,no,no
liwc_shehe,1.1877372710879766,0.2357684474008748,0.5782869769943939,0.5635145884520609,1.9390545031638111,0.0533366790512139,no,no,no
liwc_they,2.420206042132474,0.01603691125897283,5.207429654817055,3.612516019677173e-07,3.1861175578627265,0.0015780226358757,no,yes,no
liwc_ipron,-2.1402094016740856,0.03305112999245526,1.1040227957914384,0.2704890996461717,-1.4139744286079157,0.1583008258015479,no,no,no
liwc_article,3.8211960564515146,0.00015796309200463013,1.945353367698023,0.0526887335006413,3.6834311373069903,0.0002683228817091,yes,no,no
liwc_verb,1.6111518731282435,0.10807726254938672,4.178350479639424,3.879446605472259e-05,3.0755188896698558,0.0022747941030759,no,yes,no
liwc_auxverb,1.4019111936891673,0.16185671886104394,3.875696477685273,0.0001312473247698,1.025285013730688,0.3059707017898609,no,yes,no
liwc_past,1.345289730006446,0.1794308783914326,3.864208843838177,0.0001372629353818,4.550130188139293,7.515023195373891e-06,no,yes,yes
liwc_present,0.25192134767053814,0.8012545162662976,1.390755759842891,0.1653548250383895,-0.457444683877816,0.6476488639583887,no,no,no
liwc_future,1.5559767995174802,0.12064665891789468,1.71337848130168,0.0877006661209305,1.1669974084310537,0.2440439146937397,no,no,no
liwc_adverb,-3.205197372078904,0.0014780167423905748,0.447298524345412,0.6549900182047049,-2.0889352895109283,0.0374701646980056,no,no,no
liwc_preps,0.8050312677416421,0.4213658859940044,2.908331692562959,0.0039115626668115,4.380027833316949,1.5902629604387846e-05,no,no,yes
liwc_conj,-2.4299233233347572,0.015620656931609,0.5370594241560959,0.5916341598369154,0.4114935522250019,0.6809745906274707,no,no,no
