Year,Trans Women,Trans Men,Non Binary,Trans,Women,Men,LGBT,Bisexual_people,Gay_men,Lesbians,Queer
1950,0.00095504,0.000220394,7.35e-05,0.001248898,0.060167499000000006,0.064575375,0.153687922,0.0005877167205406994,0.004334410813987658,0.0023508668821627977,0.0002938583602703497
1951,0.000672897,0.00014953299999999998,0.0,0.0008971960000000001,0.058093458,0.063551402,0.15573831800000001,0.0005233644859813084,0.0058317757009345795,0.002616822429906542,7.476635514018692e-05
1952,0.0005037780000000001,7.2e-05,0.00014393700000000001,0.000719683,0.06095717900000001,0.063979849,0.15206909,0.0005037783375314861,0.005181720043181,0.0017992083483267362,0.0004318100035984167
1953,0.000591585,0.0,0.000147896,0.000591585,0.054869482000000004,0.062042445999999994,0.145751682,0.0003697404422095689,0.0051024181024920505,0.001626857945722103,0.00022184426532574132
1954,0.0009446989999999999,0.00014533799999999998,0.0,0.0011627060000000001,0.060242715,0.061405420999999995,0.158128043,0.0003633456870866943,0.0054501853063004145,0.0022527432599375044,0.0003633456870866943
1955,0.00029229099999999997,0.000146145,0.000146145,0.0005845819999999999,0.054439167000000004,0.061746438,0.153452685,0.0008768724881256851,0.004968944099378882,0.0025575447570332483,0.00036536353671903543
1956,0.000289205,0.0,7.23e-05,0.00043380800000000005,0.057118068,0.064131299,0.156532427,0.0005784108162822645,0.004844190586363965,0.002385944617164341,7.230135203528306e-05
1957,0.000435161,0.00014505399999999998,0.00014505399999999998,0.000797795,0.054322599000000006,0.061792862999999996,0.156585437,0.0005802146794313896,0.005439512619669277,0.0021032782129387874,0.0004351610095735422
1958,0.000941892,7.25e-05,7.25e-05,0.001014346,0.054339951,0.062237357,0.161208521,0.0007969859440660774,0.0048543689320388345,0.002608317635125344,0.000434719605854224
1959,0.0006398409999999999,0.000142187,0.000284374,0.000995308,0.050689606,0.061495805,0.157258638,0.0008531210009953079,0.005474193089719892,0.0019195222522394426,0.00042656050049765394
1960,0.0006970580000000001,6.97e-05,0.000209118,0.0009061760000000001,0.049700265,0.06050467,0.160950788,0.0004879408894465356,0.005715878990659417,0.002509410288582183,0.0006970584134950509
1961,0.00049886,0.000142531,0.000142531,0.0007839219999999999,0.054446978,0.058437855999999996,0.159991448,0.0011402508551881414,0.005558722919042189,0.00306442417331813,0.00042759407069555304
1962,0.0006983730000000001,0.000279349,6.979999999999999e-05,0.001047559,0.049724143,0.057825267,0.168307843,0.001047559187094071,0.006704378797402053,0.0026538166073049796,0.00027934911655841887
1963,0.000695604,0.000139121,6.96e-05,0.000973845,0.048205342000000005,0.055509182000000004,0.163953812,0.0006956037840845854,0.005982192543127434,0.0026432943795214247,0.0002782415136338342
1964,0.000803966,0.000133994,0.000267989,0.001138952,0.047701997,0.049912904,0.17070883,0.00046898030282728124,0.005627763633927375,0.0026128902586091385,0.00046898030282728124
1965,0.0008411019999999999,7.01e-05,0.000210275,0.001051377,0.048433448,0.054811803,0.172776337,0.000981285483984019,0.006168080185042405,0.0016121118665451742,0.0007710100231303007
1966,0.0005092019999999999,7.269999999999999e-05,0.000145486,0.0007274310000000001,0.047792246,0.050920201,0.169637012,0.0005092020077107733,0.005310249508983778,0.002764239470429912,0.00021822943187604568
1967,0.000782974,0.000427077,0.000142359,0.00128123,0.045270125999999994,0.04733433,0.166844615,0.0007117944337675279,0.0049113815929959425,0.0014947683109118087,0.0006406149903907751
1968,0.00041884800000000004,6.979999999999999e-05,0.000279232,0.0008376960000000001,0.043141360999999996,0.050471204000000006,0.17535776600000003,0.0009075043630017451,0.006631762652705061,0.002792321116928447,0.0007678883071553229
1969,0.000675083,6.75e-05,0.000202525,0.001080132,0.043002768,0.048740970999999994,0.175116452,0.0012151488557348275,0.006008236008911092,0.002362789441706609,0.0008100992371565517
1970,0.000332447,6.65e-05,0.000265957,0.000598404,0.041954787,0.042885638,0.18331117,0.0013297872340425532,0.005984042553191489,0.001728723404255319,0.00046542553191489364
1971,0.00040464,0.00013488,0.0,0.00053952,0.036080388,0.040126787000000004,0.17372538399999998,0.0008092797410304828,0.004518478554086863,0.002225519287833828,0.0005395198273536552
1972,0.000618429,0.000137429,0.000206143,0.0009620010000000001,0.034906892,0.034494606000000004,0.176802034,0.0010994296708582423,0.004260289974575689,0.001924001924001924,0.0008932866075723219
1973,0.000280879,7.020000000000001e-05,0.000351099,0.000772418,0.03314374,0.037216488,0.17253001899999998,0.0005617583034899235,0.004704725791728109,0.0017554946984060108,0.0005617583034899235
1974,0.0006318890000000001,0.00021063,0.00014042,0.001123359,0.031383838,0.032296567000000005,0.181773503,0.0010531489152566173,0.003931755950291371,0.002176507758197009,0.0007020992768377449
1975,0.000492715,0.000140776,0.000492715,0.00098543,0.028084747,0.028014359,0.18448652100000001,0.0014781445766171605,0.004364045892869712,0.002533962131343704,0.0009150418807630042
1976,0.000485572,0.0,0.000416204,0.0006936739999999999,0.024556049,0.027261376,0.173487791,0.000832408435072142,0.0034683684794672587,0.0013179800221975583,0.0005549389567147614
1977,0.000828787,6.91e-05,0.000276262,0.001174114,0.021755646,0.021479384,0.18053733,0.0011050486912079563,0.005939636715242765,0.0022100973824159126,0.0006906554320049727
1978,0.000821805,0.0,0.000410903,0.00109574,0.020545131,0.017737296,0.182303794,0.0010272565401999727,0.0041775099301465555,0.001780578003013286,0.0007533214628133132
1979,0.000458355,0.000327397,0.000392876,0.001047669,0.018988999,0.014536406000000002,0.186026716,0.0010476689366160294,0.00464903090623363,0.002422734415924568,0.000785751702462022
1980,0.00051911,0.000259555,0.000454221,0.001232886,0.015313737,0.009538641,0.183829732,0.0007786645902277594,0.004477321393809616,0.0022711050548309647,0.0012328856011939524
1981,0.001002946,0.000188052,0.000376105,0.0015671029999999998,0.014542718999999999,0.009590673000000001,0.18297498899999998,0.0011909985582649032,0.0038237322133767944,0.0019432081740111578,0.0013163668275559457
1982,0.000985525,6.159999999999999e-05,0.000431167,0.001539883,0.01157992,0.008746535,0.17049584199999998,0.0006159531875577456,0.004003695719125347,0.002217431475207884,0.0010471204188481676
1983,0.001109331,0.000123259,0.000493036,0.0016023670000000002,0.00949094,0.007457168,0.166769382,0.0008011832860840626,0.004745470232959448,0.0015407370886231972,0.0010477012202637743
1984,0.000485496,0.000121374,0.000364122,0.001031679,0.00904236,0.007525185,0.168345673,0.0009709916251972327,0.0032770967350406605,0.0020633572035441195,0.0008496176720475786
1985,0.00070468,0.00017617,0.00052851,0.001526807,0.007105526,0.006459569,0.162193905,0.0014093605026719127,0.004345528216571731,0.0021727641082858653,0.000998297022725938
1986,0.000813481,0.00029052900000000004,0.0006972689999999999,0.001743173,0.006217316,0.0065078440000000005,0.154619407,0.0010459035444509005,0.002905287623474724,0.0019755955839628123,0.0010459035444509005
1987,0.000822707,0.00017629400000000002,0.0009402360000000001,0.0018804720000000002,0.005288829,0.005817711999999999,0.151260504,0.0017629429394135276,0.0036434154081212903,0.002233061056590468,0.0016454134101192926
1988,0.001033948,5.739999999999999e-05,0.000976506,0.001953013,0.005514389000000001,0.0047676490000000005,0.13941065,0.001033947957952783,0.0033316100867367454,0.0024699867884427594,0.0015509219369291745
1989,0.000459321,0.00011483,0.000516737,0.001090888,0.003846816,0.004880289,0.132916116,0.0008612275363150944,0.002870758454383648,0.001607624734454843,0.0011483033817534592
1990,0.000413345,5.9e-05,0.000649542,0.0010628880000000001,0.003129613,0.003720106,0.129967523,0.0008857395925597874,0.0025981694715087097,0.0017124298789489224,0.0010628875110717448
1991,0.000799656,6.15e-05,0.0008611669999999999,0.0016608229999999999,0.0026450140000000002,0.003998278,0.127083718,0.0009841914252322077,0.002706526419388571,0.0019068708863874022,0.0017223349941563634
1992,0.000624181,0.000124836,0.0009986889999999999,0.001810124,0.0023094689999999998,0.003682667,0.122339429,0.0008738530678484489,0.0025591411272704576,0.002122214593346233,0.0013731976780475626
1993,0.00032448599999999997,0.00019469099999999998,0.00045428,0.00090856,0.001946914,0.00272568,0.113050814,0.0007787656564345512,0.001622428450905315,0.001622428450905315,0.0011032513466156142
1994,0.000402576,0.00013419200000000002,0.00046967300000000004,0.001006441,0.001073537,0.003153516,0.111111111,0.0010735373054213634,0.0016774020397208804,0.001274825550187869,0.0007380568974771874
1995,0.000444115,0.000222058,0.000370096,0.00096225,0.001406366,0.002220577,0.10296077,0.0013323464100666173,0.0014803849000740192,0.0011843079200592153,0.0008882309400444115
1996,0.000478393,0.000478393,0.00023919599999999998,0.001195982,0.000877053,0.002073035,0.09942592900000001,0.0009567852017222134,0.0008770531015786956,0.0010365173018657312,0.00039866050071758893
1997,0.000609385,0.00017411,0.00052233,0.001218769,0.000870549,0.001305824,0.093932271,0.0008705493166187865,0.0006964394532950292,0.0006964394532950292,0.0007834943849569079
1998,0.000513505,0.000205402,0.000821608,0.001540516,0.000513505,0.00102701,0.08811749,0.0012324124473657185,0.0007189072609633358,0.0013351134846461949,0.0010270103728047654
1999,0.00051079,0.00012769799999999998,0.000893883,0.0014046739999999999,0.000638488,0.0010215810000000001,0.084918912,0.0005107904482186183,0.0007661856723279274,0.0006384880602732729,0.0016600689567105094
2000,0.000318522,0.0,0.0,0.000318522,0.000637044,0.000159261,0.08090460299999999,0.0007963051441312311,0.00015926102882624622,0.00015926102882624622,0.00031852205765249244
2001,0.0007110689999999999,0.000237023,0.000948092,0.0021332070000000002,0.0007110689999999999,0.000474046,0.091727898,0.0009480919649205973,0.00047404598246029864,0.0011851149561507466,0.0011851149561507466
2002,0.00036914,0.0,0.00036914,0.00036914,0.00036914,0.00036914,0.08822443699999999,0.00036913990402362494,0.0,0.0011074197120708748,0.00036913990402362494
2003,0.0,0.000735835,0.000735835,0.000735835,0.002943341,0.0,0.128771155,0.0014716703458425313,0.002207505518763797,0.0,0.0007358351729212656
2004,0.0,0.001636661,0.001636661,0.003273322,0.001636661,0.0,0.18494271699999998,0.0,0.0,0.0,0.0016366612111292963
2005,0.0,0.0,0.0,0.0,0.008368201,0.0,0.246861925,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.304347826,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.428571429,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.41666666700000005,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846200000004,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.294117647,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.153846154,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.090909091,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
