name,wikiLink,inCategory,addToThisList,listLink
Cecilia Carranza,https://en.wikipedia.org/wiki/Cecilia_Carranza,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Yamila Rodríguez,https://en.wikipedia.org/wiki/Yamila_Rodríguez,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Sebastián Vega (basketball),https://en.wikipedia.org/wiki/Sebastián_Vega_(basketball),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Ebony Antonio,https://en.wikipedia.org/wiki/Ebony_Antonio,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kara Antonio,https://en.wikipedia.org/wiki/Kara_Antonio,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kelly Applebee,https://en.wikipedia.org/wiki/Kelly_Applebee,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Jason Ball (activist),https://en.wikipedia.org/wiki/Jason_Ball_(activist),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Hayley Bateup,https://en.wikipedia.org/wiki/Hayley_Bateup,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kiara Bowers,https://en.wikipedia.org/wiki/Kiara_Bowers,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Katie Brennan,https://en.wikipedia.org/wiki/Katie_Brennan,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Erin Burns,https://en.wikipedia.org/wiki/Erin_Burns,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Piepa Cleary,https://en.wikipedia.org/wiki/Piepa_Cleary,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Carin Clonda,https://en.wikipedia.org/wiki/Carin_Clonda,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Sarah Coyte,https://en.wikipedia.org/wiki/Sarah_Coyte,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Courtney Cramey,https://en.wikipedia.org/wiki/Courtney_Cramey,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Brianna Davey,https://en.wikipedia.org/wiki/Brianna_Davey,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Freda Du Faur,https://en.wikipedia.org/wiki/Freda_Du_Faur,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Jason Ellis (radio host),https://en.wikipedia.org/wiki/Jason_Ellis_(radio_host),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Michelle Ferris,https://en.wikipedia.org/wiki/Michelle_Ferris,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Renee Forth,https://en.wikipedia.org/wiki/Renee_Forth,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Brittany Gibson,https://en.wikipedia.org/wiki/Brittany_Gibson,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Bec Goddard,https://en.wikipedia.org/wiki/Bec_Goddard,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Heather Graham (cricketer),https://en.wikipedia.org/wiki/Heather_Graham_(cricketer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Tori Groves-Little,https://en.wikipedia.org/wiki/Tori_Groves-Little,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Courtney Gum,https://en.wikipedia.org/wiki/Courtney_Gum,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Darcy Guttridge,https://en.wikipedia.org/wiki/Darcy_Guttridge,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Nicola Hancock,https://en.wikipedia.org/wiki/Nicola_Hancock,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Tayla Harris,https://en.wikipedia.org/wiki/Tayla_Harris,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Anne Hatchard,https://en.wikipedia.org/wiki/Anne_Hatchard,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Rachael Haynes,https://en.wikipedia.org/wiki/Rachael_Haynes,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Moana Hope,https://en.wikipedia.org/wiki/Moana_Hope,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Bianca Jakobsson,https://en.wikipedia.org/wiki/Bianca_Jakobsson,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Jess Jonassen,https://en.wikipedia.org/wiki/Jess_Jonassen,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Emma Kearney (footballer),https://en.wikipedia.org/wiki/Emma_Kearney_(footballer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Delissa Kimmince,https://en.wikipedia.org/wiki/Delissa_Kimmince,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Laura Kimmince,https://en.wikipedia.org/wiki/Laura_Kimmince,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
