QID,Name,link,sex/gender,sex/gender reference,sexual orientation,sexual orientation reference,pronounsEn,pronouns reference
Q164526,Ajita Wilson,https://en.wikipedia.org/wiki/Ajita_Wilson,transgender female,,,,,
Q6781081,Maryam Khatoon Molkara,https://en.wikipedia.org/wiki/Maryam_Khatoon_Molkara,transgender female,,,,,
Q7925552,Vicky de Lambray,https://en.wikipedia.org/wiki/Vicky_de_Lambray,transgender female,,,,,
Q20676737,Dan Christian Ghattas,https://en.wikipedia.org/wiki/Dan_Christian_Ghattas,intersex,,,,,
Q22004198,Beth Elliott,https://en.wikipedia.org/wiki/Beth_Elliott,transgender female,,lesbianism,,,
Q23304260,Sheri Swokowski,https://en.wikipedia.org/wiki/Sheri_Swokowski,transgender female,,,,,
Q23762002,C. S. Pacat,https://en.wikipedia.org/wiki/C._S._Pacat,non-binary,,,,,
Q24234798,Alex Gino,https://en.wikipedia.org/wiki/Alex_Gino,genderqueer,,,,they/them,
Q27924418,E M Nelson,https://en.wikipedia.org/wiki/E_M_Nelson,t2227949963,,,,,
Q27924419,E Perkins,https://en.wikipedia.org/wiki/E_Perkins,t1733306089,,,,,
Q27924421,E Vercoe,https://en.wikipedia.org/wiki/E_Vercoe,t1463002176,,,,,
Q27924541,Jake,https://en.wikipedia.org/wiki/Jake,t2227949952,,,,,
Q27924650,K Burcher,https://en.wikipedia.org/wiki/K_Burcher,t919328711,,,,,
Q27924686,P N Slight,https://en.wikipedia.org/wiki/P_N_Slight,t83095809,,,,,
Q27924849,T M Moore,https://en.wikipedia.org/wiki/T_M_Moore,t919328738,,,,,
Q27924875,W G Poole,https://en.wikipedia.org/wiki/W_G_Poole,t2227949972,,,,,
Q27926091,l budd et al.,https://en.wikipedia.org/wiki/l_budd_et_al.,t367754081,,,,,
Q27926159,Brock,https://en.wikipedia.org/wiki/Brock,t2227950544,,,,,
Q28588687,Brooklyn Allen,https://en.wikipedia.org/wiki/Brooklyn_Allen,transgender male,,,,he/him,
Q29447264,Honey Dijon,https://en.wikipedia.org/wiki/Honey_Dijon,transgender female,,,,,
Q38053759,Yance Ford,https://en.wikipedia.org/wiki/Yance_Ford,transgender male,,,,,
Q42207726,A. W. Peet,https://en.wikipedia.org/wiki/A._W._Peet,non-binary,,,,they/them,
Q44480089,Jay Mulucha,https://en.wikipedia.org/wiki/Jay_Mulucha,transgender male,,gay,,,
Q55767420,Kat Cunning,https://en.wikipedia.org/wiki/Kat_Cunning,non-binary,,non-heterosexuality,,they/them,
Q63216069,Vincent Guillot,https://en.wikipedia.org/wiki/Vincent_Guillot,intersex,,,,,
Q65548775,Garcia,https://en.wikipedia.org/wiki/Garcia,non-binary,,,,they/them,
Q66085368,Charlotte Chucky Tate,https://en.wikipedia.org/wiki/Charlotte_Chucky_Tate,transgender female,,,,she/her,
Q66085377,Alyosxa Tudor,https://en.wikipedia.org/wiki/Alyosxa_Tudor,t1574403276,,,,,
Q86848375,Marina Echebarría Sáenz,https://en.wikipedia.org/wiki/Marina_Echebarría_Sáenz,transgender female,,,,,
Q87436375,Karina Pankievich,https://en.wikipedia.org/wiki/Karina_Pankievich,transgender female,,,,,
Q105492768,Betty Vakalidou,https://en.wikipedia.org/wiki/Betty_Vakalidou,transgender female,,,,,
Q740036,Genesis P-Orridge,https://en.wikipedia.org/wiki/Genesis_P-Orridge,non-binary,,,,,
Q57829607,João W. Nery,https://en.wikipedia.org/wiki/João_W._Nery,transgender male,,heterosexuality,,,
Q3040061,Wal Torres,https://en.wikipedia.org/wiki/Wal_Torres,transgender female,,,,,
Q5120491,Cidny Bullens,https://en.wikipedia.org/wiki/Cidny_Bullens,transgender male,,,,,
Q17361666,Jo Clifford,https://en.wikipedia.org/wiki/Jo_Clifford,transgender female,,,,,
Q15929656,Jennifer N. Pritzker,https://en.wikipedia.org/wiki/Jennifer_N._Pritzker,transgender female,,,,,
Q6822209,Nora Greenberg,https://en.wikipedia.org/wiki/Nora_Greenberg,transgender female,,,,,
Q56247818,Mathilde Daudet,https://en.wikipedia.org/wiki/Mathilde_Daudet,transgender female,,,,,
Q195704,Romy Haag,https://en.wikipedia.org/wiki/Romy_Haag,transgender female,,,,,
Q4661966,Aaron Devor,https://en.wikipedia.org/wiki/Aaron_Devor,transgender male,,,,,
Q6049250,International Chrysis,https://en.wikipedia.org/wiki/International_Chrysis,transgender female,,,,,
Q6084121,Emel Aydan,https://en.wikipedia.org/wiki/Emel_Aydan,transgender female,,,,,
Q22003008,Tracey Africa,https://en.wikipedia.org/wiki/Tracey_Africa,transgender female,,,,,
Q97191237,Nazi Afshar,https://en.wikipedia.org/wiki/Nazi_Afshar,transgender female,,,,,
Q2540350,Jessica Mink,https://en.wikipedia.org/wiki/Jessica_Mink,transgender female,,,,,
Q24699402,Monica Helms,https://en.wikipedia.org/wiki/Monica_Helms,transgender female,,,,,
Q6471015,Laerte,https://en.wikipedia.org/wiki/Laerte,transgender female,,,,,
Q6685787,Lou Sullivan,https://en.wikipedia.org/wiki/Lou_Sullivan,transgender male,,,,,
Q2278761,Sylvia Rivera,https://en.wikipedia.org/wiki/Sylvia_Rivera,transgender female,,,,,
Q6456452,L. Frank,https://en.wikipedia.org/wiki/L._Frank,two-spirit,,,,,
Q12985257,Q12985257,https://en.wikipedia.org/wiki/Q12985257,male organism,,,,,
