metric,orientationStatistic,orientationPValue,genderStatistic,genderPValue,queernessStatistic,queernessPValue,orientationSignificant,genderSignificant,queernessSignificant
word_count,12.26611681,2.57E-32,8.657466087,1.91E-17,12.05302337,2.49E-31,yes,yes,yes
vader_compound,0.189297698,0.849897989,-2.66927729,0.007724869,-0.367838984,0.713071296,no,yes,no
vader_neg,7.395140686,2.99E-13,9.983253502,1.95E-22,9.474023472,1.89E-20,yes,yes,yes
vader_neu,-9.75356784,1.57E-21,-8.090794774,1.71E-15,-9.847689788,6.72E-22,yes,yes,yes
vader_pos,6.480608423,1.43E-10,2.637032295,0.008493461,5.804341857,8.67E-09,yes,yes,yes
empath_help,-8.925640477,2.08E-18,-7.628974133,5.51E-14,-10.21365869,2.32E-23,yes,yes,yes
empath_office,-9.737055674,1.82E-21,-11.34262316,3.91E-28,-10.95796004,1.83E-26,yes,yes,yes
empath_dance,-0.167032056,0.867378662,-1.022317844,0.306878232,0.484313192,0.628269879,no,no,no
empath_money,-2.037330754,0.041880303,1.72119653,0.085525082,3.265622543,0.001129405,yes,no,yes
empath_wedding,4.232815881,2.52E-05,3.178181558,0.001527591,5.641662338,2.19E-08,yes,yes,yes
empath_domestic_work,0.773219245,0.439575735,1.689082047,0.091516069,2.648985552,0.008200896,no,no,yes
empath_sleep,1.328305766,0.184380786,1.270537475,0.204189342,2.458012746,0.01413987,no,no,yes
empath_medical_emergency,-7.168409128,1.47E-12,-3.652081907,0.000273638,-6.641570209,5.09E-11,yes,yes,yes
empath_cold,-1.450254926,0.147301639,0.163309911,0.870307494,-0.44422308,0.656977613,no,no,no
empath_hate,4.149310053,3.62E-05,6.326656462,3.78E-10,5.684619007,1.72E-08,yes,yes,yes
empath_cheerfulness,3.27293043,0.001100911,3.89378931,0.000105253,4.179980125,3.17E-05,yes,yes,yes
empath_aggression,3.374657559,0.000767527,6.116152614,1.37E-09,3.528576248,0.000436841,yes,yes,yes
empath_occupation,-2.332904669,0.019851108,-3.080246683,0.002124915,-3.221007201,0.0013187,yes,yes,yes
empath_envy,1.510038155,0.131350217,4.700367119,2.96E-06,3.180146744,0.001517373,no,yes,yes
empath_anticipation,2.794678969,0.005294684,3.211931168,0.00136063,3.516514371,0.000456922,yes,yes,yes
empath_family,2.389263073,0.01706707,3.024592642,0.0025534,3.010871938,0.002670548,yes,yes,yes
empath_vacation,2.544051643,0.011107276,1.385098932,0.166331737,0.984416566,0.325149325,yes,no,no
empath_crime,-2.217527007,0.026811712,-1.739774888,0.082206832,-1.056054582,0.29119885,yes,no,no
empath_attractive,2.752091301,0.006028935,7.22353334,1.00E-12,2.345091175,0.019217551,yes,yes,yes
empath_masculine,2.231451111,0.025872697,3.845995467,0.000127676,2.738882052,0.006274663,yes,yes,yes
empath_prison,-0.601654569,0.547540741,1.328551598,0.184299648,0.200621055,0.841035769,no,no,no
empath_health,3.395316091,0.000712497,6.096400785,1.55E-09,4.884599542,1.21E-06,yes,yes,yes
empath_pride,3.605655131,0.000326773,3.246329373,0.001207944,2.085763171,0.037253609,yes,yes,yes
empath_dispute,3.121632363,0.001850247,4.880142211,1.23E-06,3.949966897,8.37E-05,yes,yes,yes
empath_nervousness,6.416473193,2.15E-10,7.599387628,6.84E-14,5.125510548,3.56E-07,yes,yes,yes
empath_government,0.51082226,0.609588496,0.781917547,0.434448496,0.666635169,0.505159279,no,no,no
empath_weakness,-1.045762441,0.295923943,-2.488737056,0.012981861,-2.870523863,0.004184493,no,yes,yes
empath_horror,3.932895212,8.97E-05,4.125149176,4.01E-05,3.812706826,0.000145879,yes,yes,yes
empath_swearing_terms,2.060111414,0.039646709,1.797484703,0.072560907,0.050113358,0.960042082,yes,no,no
empath_leisure,1.484634325,0.137956485,0.654429686,0.512985795,2.012498,0.044435711,no,no,yes
empath_suffering,2.487967328,0.013009814,1.256019672,0.209402788,1.561875264,0.118634402,yes,no,no
empath_royalty,1.818954717,0.069217915,2.407297359,0.016251767,1.166494227,0.243693347,no,yes,no
empath_wealthy,0.424111458,0.671575929,0.498282881,0.618394461,2.825176177,0.004819662,no,no,yes
empath_tourism,0.302453065,0.762369731,3.084241667,0.002096854,2.424113525,0.015522619,no,yes,yes
empath_furniture,2.066300607,0.039057658,0.008383882,0.993312384,1.84180387,0.065800417,yes,no,no
empath_school,0.902995096,0.366746391,3.290678937,0.001034458,0.774943674,0.438556509,no,yes,no
empath_magic,0.145258952,0.884535753,-0.459412371,0.646038117,2.13916625,0.03266432,no,no,yes
empath_beach,-0.965036177,0.334760472,-1.137327363,0.255674444,-1.274006917,0.202957563,no,no,no
empath_journalism,-6.420774851,2.09E-10,-5.385495448,9.01E-08,-6.291031882,4.71E-10,yes,yes,yes
empath_morning,2.44643513,0.014599366,3.835562669,0.000133136,4.517875784,6.99E-06,yes,yes,yes
empath_banking,-1.912813913,0.056057846,-0.536773136,0.591543967,1.471263961,0.141534976,no,no,no
empath_social_media,1.363437101,0.173052274,2.141326341,0.032489372,2.841613155,0.004579979,no,yes,yes
empath_exercise,-3.294220245,0.001021652,-5.971150437,3.27E-09,-4.701017916,2.95E-06,yes,yes,yes
empath_night,5.723899885,1.38E-08,5.168273975,2.85E-07,5.776262075,1.02E-08,yes,yes,yes
empath_kill,2.904051301,0.003764871,2.771104132,0.005690475,0.861613228,0.389107357,yes,yes,no
empath_blue_collar_job,-0.320342487,0.748775776,1.33529332,0.18208484,2.731866815,0.006408805,no,no,yes
empath_art,3.85937211,0.000120983,5.226451434,2.10E-07,6.435538781,1.91E-10,yes,yes,yes
empath_ridicule,3.174400324,0.00154743,1.837379687,0.066451034,5.165226304,2.90E-07,yes,no,yes
empath_play,-6.412165185,2.21E-10,-8.28278144,3.84E-16,-8.905167036,2.47E-18,yes,yes,yes
empath_computer,1.389191121,0.165084518,2.334494615,0.019767427,4.324121992,1.69E-05,no,yes,yes
empath_college,-4.369115752,1.38E-05,-2.142802517,0.032370278,-4.702419355,2.93E-06,yes,yes,yes
empath_optimism,6.395687705,2.45E-10,7.739966194,2.43E-14,6.683934782,3.86E-11,yes,yes,yes
empath_stealing,0.906572285,0.364851851,2.823266891,0.004848228,3.426144115,0.000637168,no,yes,yes
empath_real_estate,1.228060719,0.21971372,5.977943656,3.14E-09,3.956196858,8.15E-05,no,yes,yes
