metric,orientationStatistic,orientationPValue,genderStatistic,genderPValue,queernessStatistic,queernessPValue,orientationSignificant,genderSignificant,queernessSignificant
word_count,2.6943948177802706,0.0078783776032114,1.620513091572153,0.1072799532016173,0.8955997005077737,0.3721609531224777,no,no,no
vader_compound,0.9954475607552958,0.3211655888124183,2.645170102549636,0.0090589836195226,1.140031678855877,0.2564185824374614,no,no,no
vader_neg,-1.5947832109601048,0.1129231886788581,-0.9789751755044748,0.3292116371184043,-1.7394974006099466,0.0843701061139842,no,no,no
vader_neu,-0.0459828534526135,0.9633867519930848,0.1975577512652586,0.8436658748350203,0.7922261633386724,0.429706141061732,no,no,no
vader_pos,1.735581507134775,0.0847477459073308,0.8505214633207189,0.3964279219749045,1.0739107154793508,0.2848988981418904,no,no,no
empath_help,-2.5674234174392634,0.0112510106665713,-0.7422631295094818,0.4591204144215077,-0.3361655292294483,0.7373008205614104,no,no,no
empath_office,-1.3578845079943165,0.176595206628718,-0.0476468897024803,0.9620627763914196,-0.0046543702033607,0.996293666430682,no,no,no
empath_dance,0.4273031544905897,0.6697880600926663,2.148307261685813,0.0333389965019439,0.7616440880962756,0.447684508255518,no,no,no
empath_money,-3.725272273902028,0.0002781406016283,-1.555874262337034,0.1219030419746099,-1.9081158275987256,0.0586335102451525,no,no,no
empath_wedding,1.1285626385578036,0.2609334102094368,-1.586416522976999,0.1148083251729769,-0.1912863846345384,0.8486067049755475,no,no,no
empath_domestic_work,-0.4904993328142712,0.6245169637986767,-0.1961827054318466,0.8447399653095404,-1.91139750057602,0.0582067159921661,no,no,no
empath_sleep,0.0198400114873665,0.9841980877538976,0.2947822672843635,0.7685789557952594,-0.6246178948559004,0.5333424199933541,no,no,no
empath_medical_emergency,-1.9035515335377675,0.0589364984242268,2.8210214711248254,0.0054537756611361,-1.155770237761339,0.2499448526731596,no,no,no
empath_cold,-1.5201698771020562,0.1306309829570773,-1.2069585717835647,0.2293999636107138,-1.6876665855981232,0.0939296870259217,no,no,no
empath_hate,0.0921311970121117,0.9267200966688108,0.6192567513163055,0.5367123455064586,-0.0339935223151143,0.9729356853938091,no,no,no
empath_cheerfulness,1.447490428216026,0.1499034646998309,0.7700598165751225,0.4425086092131487,1.2995271570088518,0.1961170599646712,no,no,no
empath_aggression,-0.6060920857105249,0.5453947652909438,-0.3188358706374088,0.7503066564626462,-2.45881276202555,0.015286444016743,no,no,no
empath_occupation,-0.538369737238128,0.5911416493940177,-1.4614176133025074,0.1460497916575483,0.4762015799311844,0.6347489861338576,no,no,no
empath_envy,-0.3354165833681677,0.7377923354180287,0.1142534591084507,0.9091938448468926,0.2348896725916957,0.8146726632979497,no,no,no
empath_anticipation,-0.4294901664252624,0.6681997032780425,0.1980315809808144,0.8432958198430183,1.1128523576665938,0.2678738217944287,no,no,no
empath_family,0.628522909655429,0.5306434810575693,-0.3755036500671653,0.7078309242548566,-0.2930071011799707,0.7699949376843283,no,no,no
empath_vacation,0.5292871477379154,0.5974101093934072,-2.259868020466548,0.0253092558471162,-1.1955869783791706,0.2340854074011868,no,no,no
empath_crime,-1.8904818793476417,0.0606751574243983,-2.436451278119824,0.0160356656085421,-3.2125206410200167,0.0016675399064651,no,no,no
empath_attractive,2.068920646904295,0.0403169260290256,2.7410635132884,0.0068895312912625,-0.4888690766774605,0.6257775568477,no,no,no
empath_masculine,1.382060774700766,0.1690638835542006,3.096320831232953,0.0023498346070364,2.0859289974378497,0.038986375553027,no,no,no
empath_prison,-1.8165916130120308,0.0713308146211465,-3.223675813652908,0.0015613459337096,-3.5857141607366807,0.0004779927723231,no,no,no
empath_health,-1.745139579576108,0.0830645558114486,2.690319931034584,0.0079705424882618,-1.1738868197533734,0.2426370325189067,no,no,no
empath_pride,1.804002371533574,0.073292465803828,0.83534770773931,0.4048868789618677,1.8274112420313324,0.0699855950534887,no,no,no
empath_dispute,-0.5102492322694104,0.610647412838754,-1.225828562812928,0.2222367994676633,-2.65626360228978,0.0089146359408211,no,no,no
empath_nervousness,-0.312416229435108,0.7551699847918801,1.601377302046759,0.1114548788584825,0.0069828927048173,0.9944394599683306,no,no,no
empath_government,-2.54466660893098,0.0119770739483772,-3.8665176505415686,0.000165701864803,-0.593120248778158,0.5541554449353882,no,yes,no
empath_weakness,-0.621723854757442,0.5350930787534145,-2.0338002396001533,0.0437827227092993,-1.0637103474084977,0.28947827473838,no,no,no
empath_horror,1.7424981774084671,0.0835269512528513,-0.0255175160040341,0.979677021572614,-0.0453733970637941,0.9638809526773636,no,no,no
empath_swearing_terms,1.9406603214103395,0.0542262270146587,1.806808256850253,0.0728514356067476,1.4359577684787486,0.153472932436954,no,no,no
empath_leisure,1.7401341541477362,0.0839425735595431,-3.237629494788841,0.0014918636276177,-1.2617103179440998,0.2093654413450503,no,no,no
empath_suffering,1.3694048647354744,0.1729754873581408,1.3347573894072844,0.1840334959392442,-1.2244582450745618,0.2230458743147761,no,no,no
empath_royalty,1.0217357495357684,0.3085959979148734,1.2148382427805788,0.2263888596228487,-0.1508959744880298,0.880297189618318,no,no,no
empath_wealthy,0.1537095951013738,0.8780509739408098,-2.562167864107632,0.0114150921023663,-1.9675080191862615,0.0513041270750536,no,no,no
empath_tourism,0.9424442714128952,0.3475220780087664,-1.043575667159485,0.2984066030508631,-0.2031976975877453,0.8393057164715134,no,no,no
empath_furniture,-0.0175137811713879,0.9860506497886116,-0.6834217595709711,0.4954235206475201,-0.080753207354022,0.9357653402351092,no,no,no
empath_school,-2.2782017712808544,0.0241657976335013,-1.5741275186146522,0.1176224722586474,-1.9850803734429423,0.0492903421734547,no,no,no
empath_magic,1.0016916436880092,0.3181498296611957,0.1858452708083263,0.852824055229551,0.4632480216369003,0.6439794781315722,no,no,no
empath_beach,-2.2843236993663067,0.0237941875843943,-0.2847885835553109,0.7762096783398912,0.2256168943556502,0.8218620678181112,no,no,no
empath_journalism,-0.7944714897497765,0.4282105087259209,-1.7819232786625878,0.0768403958278606,0.5813219686897467,0.5620537937659853,no,no,no
empath_morning,-0.8385543565463145,0.4030902296460004,0.8132809807605798,0.4173812770909266,0.2477002700415323,0.8047663495496753,no,no,no
empath_banking,-2.736565280424429,0.0069796842308346,-1.3776686437575685,0.1704137073675904,-3.3669849225799027,0.0010060075476538,no,no,no
empath_social_media,-0.2843648725008134,0.776533693425872,0.8100229681035741,0.4192452571238005,-1.888043816952499,0.0613015556817018,no,no,no
empath_exercise,-1.739644515043095,0.0840288688122151,2.4120052427723526,0.0171065721023695,-0.3009827564604198,0.763919848226303,no,no,no
empath_night,0.6439560564217283,0.5206142553452762,1.218595661753417,0.2249630896002204,1.294945807705393,0.1976881460342404,no,no,no
empath_kill,-0.1192135639768052,0.9052700373031954,0.0616017528976705,0.9509642300490266,-1.80313124631816,0.0737385654208968,no,no,no
