,QID,Name,P21,P21ref,P91,P91ref,P6553,P6553ref,pronounsEn
80,Q164526,Ajita Wilson,transgender female,,,,,,
4930,Q6781081,Maryam Khatoon Molkara,transgender female,,,,,,
6116,Q7925552,Vicky de Lambray,transgender female,,,,,,
10780,Q20676737,Dan Christian Ghattas,intersex,,,,,,
11620,Q22004198,Beth Elliott,transgender female,,lesbianism,,,,
11922,Q23304260,Sheri Swokowski,transgender female,,,,,,
11974,Q23762002,C. S. Pacat,non-binary,,,,,,
12357,Q24234798,Alex Gino,genderqueer,,,,L371,,they/them
13255,Q27924418,E M Nelson,t2227949963,,,,,,
13256,Q27924419,E Perkins,t1733306089,,,,,,
13257,Q27924421,E Vercoe,t1463002176,,,,,,
13259,Q27924541,Jake,t2227949952,,,,,,
13260,Q27924650,K Burcher,t919328711,,,,,,
13261,Q27924686,P N Slight,t83095809,,,,,,
13262,Q27924849,T M Moore,t919328738,,,,,,
13263,Q27924875,W G Poole,t2227949972,,,,,,
13267,Q27926091,l budd et al.,t367754081,,,,,,
13269,Q27926159,Brock,t2227950544,,,,,,
13611,Q28588687,Brooklyn Allen,transgender male,,,,L485,,he/him
13995,Q29447264,Honey Dijon,transgender female,,,,,,
14966,Q38053759,Yance Ford,transgender male,,,,,,
15343,Q42207726,A. W. Peet,non-binary,,,,L371,,they/them
15755,Q44480089,Jay Mulucha,transgender male,,gay,,,,
18711,Q55767420,Kat Cunning,non-binary,,non-heterosexuality,,L371,,they/them
22271,Q63216069,Vincent Guillot,intersex,,,,,,
23339,Q65548775,Garcia,non-binary,,,,L371,,they/them
23598,Q66085368,Charlotte Chucky Tate,transgender female,,,,L484,,she/her
23599,Q66085377,Alyosxa Tudor,t1574403276,,,,,,
25556,Q86848375,Marina Echebarría Sáenz,transgender female,,,,,,
25597,Q87436375,Karina Pankievich,transgender female,,,,,,
29308,Q105492768,Betty Vakalidou,transgender female,,,,,,
30512,Q740036,Genesis P-Orridge,non-binary,,,,,,
32296,Q57829607,João W. Nery,transgender male,,heterosexuality,,,,
33366,Q3040061,Wal Torres,transgender female,,,,,,
33615,Q5120491,Cidny Bullens,transgender male,,,,,,
34484,Q17361666,Jo Clifford,transgender female,,,,,,
38313,Q740036,Genesis P-Orridge,non-binary,,,,,,
47405,Q15929656,Jennifer N. Pritzker,transgender female,,,,,,
56800,Q6822209,Nora Greenberg,transgender female,,,,,,
57836,Q56247818,Mathilde Daudet,transgender female,,,,,,
58589,Q195704,Romy Haag,transgender female,,,,,,
59866,Q4661966,Aaron Devor,transgender male,,,,,,
60879,Q6049250,International Chrysis,transgender female,,,,,,
60922,Q6084121,Emel Aydan,transgender female,,,,,,
65639,Q22003008,Tracey Africa,transgender female,,,,,,
71560,Q97191237,Nazi Afshar,transgender female,,,,,,
73744,Q2540350,Jessica Mink,transgender female,,,,,,
77553,Q24699402,Monica Helms,transgender female,,,,,,
84495,Q6471015,Laerte,transgender female,,,,,,
84510,Q6685787,Lou Sullivan,transgender male,,,,,,
86272,Q2278761,Sylvia Rivera,transgender female,,,,,,
103584,Q6456452,L. Frank,two-spirit,,,,,,
105767,Q12985257,Q12985257,male organism,,,,,,
106366,Q16152042,Gina Wilson,intersex,,,,,,
106980,Q17509028,Rupert Raj,transgender male,,,,,,
117630,Q17182648,Dana Beyer,transgender female,,,,,,
122274,Q5927684,Javier Egea,cisgender male,,,,,,
125817,Q42752991,Stéphanie Nicot,transgender female,,,,,,
126830,Q467067,Bülent Ersoy,transgender female,,,,,,
127122,Q3311388,Micheline Montreuil,transgender female,,,,,,
127273,Q4686966,Adèle Anderson,transgender female,,,,,,
141943,Q108147375,Ann-Christine Ruuth,transgender female,,,,,,
144590,Q529619,Baby Dee,transgender female,,,,,,
144786,Q975070,Michael J. Bassett,transgender female,,,,,,
145778,Q2635912,Jennifer Ventimilia,transgender female,,,,,,
151355,Q4545833,1.8.7,transgender female,,,,,,
152063,Q5488143,Kellie Maloney,transgender female,,,,,,
153077,Q6749405,Mani Mitchell,non-binary,,,,,,
153078,Q6749405,Mani Mitchell,intersex,,,,,,
159973,Q26252626,Adelina Anthony,two-spirit,,lesbianism,,L484,,she/her
160669,Q29436186,Misha Ignis,t2289984868,,,,,,
160895,Q30729148,Hélène Hardy,transgender female,,,,,,
162374,Q56282931,Mogok Pauk Pauk,transgender female,,,,,,
162924,Q61793824,Lisa Middleton,transgender female,,,,,,
172559,Q28860926,Corine van Dun,transgender female,,,,,,
175277,Q62936575,Sharron Proulx-Turner,two-spirit,,,,,,
179722,Q7789025,Giselle Donnelly,transgender female,,,,,,
183811,Q106393180,Q106393180,male organism,,,,,,
185187,Q16019695,Sally Gross,transgender female,,,,,,
185188,Q16019695,Sally Gross,intersex,,,,,,
194901,Q12989551,Q12989551,male organism,,,,,,
199480,Q6777103,Martine Rothblatt,transgender female,,,,,,
202004,Q16186307,Michelle Josef,transgender female,,,,,,
202900,Q18702981,Carol Stone,transgender female,,,,,,
204113,Q24255278,Eva Koumarianou,transgender female,,,,,,
205780,Q53764770,Soshuku Shibatani,transgender female,,,,,,
208198,Q78971059,Anne Philomena O'Brien,transgender female,,,,,,
212754,Q2595673,Bibiana Fernández Chica,transgender female,,,,,,
213160,Q6138404,Tamara Adrián,transgender female,,,,,,
214916,Q330072,Patrick Califia,transgender male,,bisexuality,,,,
214934,Q442804,Anna Grodzka,transgender female,,,,,,
217558,Q107453180,Deborah Lambillotte,transgender female,,lesbianism,,,,
217652,Q532369,Marcie Free,transgender female,,,,,,
219471,Q42429301,René van Ree,t2290488776,,,,,,
225845,Q2448438,Marja-Sisko Aalto,transgender female,,,,,,
228158,Q297865,Caroline Cossey,transgender female,,,,,,
230814,Q816430,Ben Barres,transgender male,,,,,,
232572,Q60635287,Julia Grant,transgender female,,,,,,
233071,Q96748596,Leslie Santana,transgender female,,,,,,
236605,Q6137906,Celeste Lecesne,non-binary,,,,L371,,they/them
236606,Q6137906,Celeste Lecesne,non-binary,,,,L371,,they/them
236607,Q6137906,Celeste Lecesne,non-binary,,,,L485,,he/him
236608,Q6137906,Celeste Lecesne,non-binary,,,,L485,,he/him
244136,Q7040818,Nisi Shawl,genderfluid,,,,L371,,they/them
244137,Q7042084,Nizah Morris,transgender female,,,,,,
245095,Q11356036,Junko Mitsuhashi,transgender female,,,,,,
246761,Q16191502,Gigi Raven Wilbur,third gender,,,,,,
246762,Q16191502,Gigi Raven Wilbur,intersex,,,,,,
258301,Q9785485,Cláudia Wonder,transgender female,,,,,,
261305,Q17287343,Matt Kailey,transgender male,,,,,,
266291,Q7610846,Stephen Whittle,transgender male,,,,,,
270674,Q92718,Mary Ann Horton,transgender female,,,,,,
273974,Q5551765,Natalia Parés Vives,transgender female,,,,,,
276555,Q6147102,Jamie Lee Hamilton,transgender female,,,,,,
291866,Q16201513,Cate McGregor,transgender female,,,,,,
293635,Q22237095,Renée Lodewijckx,t1181005139,,,,,,
294231,Q27804542,Ashley Hans Scheirl,non-binary,,,,,,
294232,Q27804542,Ashley Hans Scheirl,transgender male,,,,,,
302581,Q219368,Judith Butler,non-binary,,,,L371,,they/them
302582,Q219368,Judith Butler,non-binary,,,,L484,,she/her
305919,Q12301643,Anette Egelund,transgender female,,,,,,
306340,Q22683868,Béatrice Denaes,transgender female,,,,,,
309284,Q56167585,Christine Hallquist,transgender female,,,,,,
318382,Q5092713,Cheryl Chase,intersex,,,,L484,,she/her
323362,Q4117080,Jennell Jaquays,transgender female,,lesbianism,,L484,,she/her
333101,Q6795393,Max Wolf Valerio,transgender male,,,,,,
340025,Q56859020,Linus Fontrodona i Padró,non-binary,,,,,,
340057,Q57297528,Rachel Levine,transgender female,,,,,,
345155,Q105968011,Saghi Ghahraman,non-binary,,,,,,
346071,Q16489,Sophie Wilson,transgender female,,,,,,
346865,Q6795393,Max Wolf Valerio,transgender male,,,,,,
348893,Q2892092,The Lady Chablis,transgender female,,,,,,
359673,Q5252903,Del LaGrace Volcano,non-binary,,,,,,
366580,Q79469637,Georgine Kellermann,transgender female,,,,,,
368207,Q12237573,Lauren Berlant,non-binary,,,,L371,,they/them
369600,Q466137,Georgina Beyer,transgender female,,,,,,
371895,Q99145285,Val Denham,transgender female,,,,,,
373623,Q57470789,Mar Cambrollé,transgender female,,,,,,
373770,Q51845809,Lauren Foster,transgender female,,,,,,
375508,Q2925404,Brigitte Boréale,transgender female,,,,,,
377348,Q6757066,Marci Bowers,transgender female,,,,,,
379850,Q16192680,Tiger Devore,intersex,,,,,,
379922,Q16192989,Penny Whetton,transgender female,,,,,,
379986,Q16328743,Paola Revenioti,transgender female,,,,,,
381329,Q21459628,Terry Curling,t2288908501,,,,,,
384333,Q59304470,Dana Zzyym,non-binary,,,,L371,,they/them
384334,Q59304470,Dana Zzyym,intersex,,,,L371,,they/them
385459,Q73302384,Josefina Campàs i Ferrón,transgender female,,,,,,
390291,Q543269,Liza N'Eliaz,transgender female,,,,,,
393846,Q12974633,Q12974633,male organism,,,,,,
396071,Q5481042,Francis García,transgender female,,,,,,
401437,Q4723693,Alfredo Adame,intersex,,,,,,
401595,Q6178317,Jennifer Finney Boylan,transgender female,,,,,,
408319,Q711397,Philippa York,transgender female,,,,,,
408972,Q6123284,Jahna Erica Steele,transgender female,,,,,,
412515,Q28656559,Jess Herbst,transgender female,,,,,,
414985,Q28316787,Miriam van der Have,intersex,,,,,,
416170,Q2245540,Eva Robin's,transgender female,,,,,,
416286,Q3194031,Katherine Connella,intersex,,,,,,
418217,Q107568095,Karen Gale,transgender female,,,,,,
420137,Q4714088,Alec Butler,non-binary,,,,L371,,they/them
420138,Q4714088,Alec Butler,two-spirit,,,,L371,,they/them
420139,Q4714088,Alec Butler,intersex,,,,L371,,they/them
420140,Q4714088,Alec Butler,non-binary,,,,L485,,he/him
420141,Q4714088,Alec Butler,two-spirit,,,,L485,,he/him
420142,Q4714088,Alec Butler,intersex,,,,L485,,he/him
420189,Q4762409,Angela Clayton,transgender female,,,,,,
420195,Q4768693,Anne Ogborn,transgender female,,,,,,
421870,Q7648414,Susan Stanton,transgender female,,,,,,
421938,Q7908495,Vaginal Davis,intersex,,,,L484,,she/her
421939,Q7908495,Vaginal Davis,genderqueer,,,,L484,,she/her
423617,Q15460494,Loren Cameron,transgender male,,,,,,
428380,Q59785870,Lorenza Böttner,transgender female,,,,,,
433735,Q107424104,Q107424104,female organism,,,,,,
435923,Q20021667,Marie Stensby,t2414363180,,,,,,
436300,Q47532275,Bo Van Spilbeeck,transgender female,,,,,,
437833,Q6470024,Catiria Reyes,transgender female,,,,,,
438352,Q15807821,Elisabeth Piesch,transgender female,,,,,,
438395,Q16193185,Michael Kantaras,transgender male,,,,,,
439594,Q98882525,Camille Barré,transgender female,,,,,,
441346,Q22266869,Christiane Völling,intersex,,,,,,
448045,Q2480827,Carla Antonelli,transgender female,,,,,,
448046,Q2480827,Carla Antonelli,transgender female,,,,,,
451111,Q6828097,Michael A. Sullivan,intersex,,,,,,
453671,Q6754500,Mara Keisling,transgender female,,,,,,
461141,Q6178260,Jennifer Diane Reitz,transgender female,,,,,,
463154,Q628148,Goddess Bunny,transgender female,,,,,,
463354,Q943047,Grant Morrison,non-binary,,,,L371,,they/them
464844,Q4719241,Alexander John Goodrum,transgender male,,,,,,
465933,Q6206209,Joanne Rushton,transgender female,,,,,,
466486,Q7155072,Pauline Park,transgender female,,,,,,
467440,Q11397701,Norisada Maeda,t2284283978,,,,,,
471040,Q24702421,Andrea Jenkins,transgender female,,,,,,
471221,Q26704793,Yoseñio V. Lewis,transgender male,,,,,,
472672,Q43570374,Pat Schmatz,non-binary,,,,L371,,they/them
473304,Q55020734,Chloe Dzubilo,transgender female,,,,,,
489283,Q7924991,Vicci Laine,transgender female,,,,,,
490698,Q89044367,Lorena Borjas,transgender female,,,,,,
491580,Q4934235,Zoey Tur,transgender female,,,,,,
496019,Q96361923,Aimee Stephens,transgender female,,,,,,
500900,Q63928606,Melissa Ede,transgender female,,,,,,
501810,Q2555359,Maddie Blaustein,transgender female,,,,L484,,she/her
510981,Q5045184,Caroline Paige,transgender female,,,,,,
512445,Q7648438,Susan Stryker,transgender female,,,,,,
512610,Q9010762,Janaína Dutra,transgender female,,,,,,
515320,Q19561491,Catherine McKenney,non-binary,,,,L371,,they/them
525911,Q7488917,Shannon Minter,transgender male,,,,,,
528988,Q17045578,Demet Demir,transgender female,,,,,,
529540,Q57581328,Leonne Zeegers,intersex,,,,,,
533263,Q2184751,Norrie May-Welby,non-binary,,,,L371,,they/them
533264,Q2184751,Norrie May-Welby,neutral sex,,,,L371,,they/them
535440,Q108535958,Q108535958,female organism,,,,,,
537251,Q29000910,Krissy Ramsey,transgender female,,,,,,
541698,Q7926817,Victoria Kolakowski,transgender female,,,,,,
543738,Q3195197,McKenzie Wark,transgender female,,,,L484,,she/her
550968,Q433322,Jack Halberstam,non-binary,,,,L485,,he/him
553728,Q1077426,Chris Korda,transgender female,,,,,,
554889,Q3807902,Jenny Bailey,transgender female,,,,,,
555087,Q4681602,Adela Hernandez,transgender female,,,,,,
555513,Q5365201,Ikko,transgender female,,,,,,
556300,Q6762946,Marius Mason,transgender male,,,,,,
557681,Q11576277,Maki Tahara,transgender female,,,,,,
564767,Q67270436,Mika Haka,genderfluid,,,,,,
568735,Q101244857,Carmen García de Merlo,transgender female,,,,,,
569986,Q14073,Alexia Massalin,transgender female,,,,,,
570019,Q254022,Eddie Izzard,genderfluid,,,,L484,,she/her
570384,Q2964043,Chiya Fujino,transgender female,,,,,,
571940,Q67270436,Mika Haka,genderfluid,,,,,,
573166,Q4720589,Alexandra Billings,transgender female,,,,,,
573627,Q11301860,Kota,transgender female,,,,,,
574123,Q19940727,Q19940727,transgender female,,,,,,
579629,Q28054067,Monica Roberts,transgender female,,,,,,
580667,Q1563762,Anderson Bigode Herzer,transgender male,,,,,,
581919,Q18630424,Sabian Baumann,transgender male,,,,,,
582980,Q100573746,Paca La Piraña,transgender female,,,,,,
583021,Q105975950,Shinta Ratri,transgender female,,,,,,
585924,Q2469656,Manuela Trasobares,transgender female,,,,,,
591514,Q5946243,Li Jing,transgender female,,,,,,
593646,Q1592529,Alexander James Adams,transgender male,,,,,,
596930,Q11451285,Hiromasa Andō,transgender male,,,,,,
598088,Q83765104,Toni Newman,transgender female,,,,,,
600391,Q5360190,Eli Clare,non-binary,,,,,,
600392,Q5360190,Eli Clare,transgender male,,,,,,
600393,Q5360190,Eli Clare,genderqueer,,,,,,
602538,Q11450405,Ayumi Yasutomi,transgender female,,,,,,
602663,Q11625275,Masae Torai,transgender male,,,,,,
604582,Q18633314,Yazka Love,transgender male,,,,,,
610045,Q69356174,Kylar Broadus,transgender male,,,,,,
615446,Q2281294,Max Drenth,transgender male,,,,,,
617466,Q101159820,Stephanie Byers,transgender female,,,,,,
623311,Q1872491,Justin Vivian Bond,non-binary,,,,L371,,they/them
627206,Q17428148,Petra De Sutter,transgender female,,,,,,
628508,Q909047,Dorce Gamalama,transgender female,,,,,,
634418,Q6144533,James Urbaniak,cisgender male,,heterosexuality,,,,
636617,Q3291864,Sam Bourcier,transgender male,,,,,,
637108,Q7301768,Rebecca Heineman,transgender female,,lesbianism,,L484,,she/her
637641,Q18417417,Brigitte LG Baptiste,transgender female,,,,,,
638106,Q60339817,Helen Belcher,transgender female,,,,,,
638741,Q108110670,Pamela Valenzuela,transgender female,,,,,,
639341,Q4497395,Rita Hester,transgender female,,,,,,
644169,Q1077426,Chris Korda,transgender female,,,,,,
646870,Q6726642,Maddison Hall,transgender female,,,,,,
646974,Q7125180,Paisley Currah,transgender male,,,,,,
649811,Q17181924,Nedjma,t2435999457,,,,,,
650436,Q20090216,Manabi Bandyopadhyay,transgender female,,,,,,
650555,Q20684345,Aidan Key,transgender male,,,,,,
651842,Q28605787,Iris Rachamimov,transgender female,,,,,,
651982,Q29050599,Bobbi Jean Baker,transgender female,,,,,,
653001,Q48977764,SC Natzab,transgender female,,,,,,
659370,Q107208197,Cristina Montserrat Hendrickse,transgender female,,,,,,
663726,Q7076783,Octavia St. Laurent,transgender female,,,,,,
663971,Q11687785,La Veneno,transgender female,,,,,,
666102,Q2844575,Amy Ray,genderqueer,,lesbianism,,,,
666442,Q5400926,Estelle Asmodelle,transgender female,,,,,,
666915,Q12219999,Safa Al Hashem,transfeminine,,,,,,
669096,Q4221522,Caitlín R. Kiernan,transgender female,,lesbianism,,L371,,they/them
673234,Q66041094,Céline Audebeau,transgender female,,,,,,
675096,Q16195718,Terri O'Connell,transgender female,,,,,,
677826,Q16941585,Zuliana Araya,transgender female,,,,,,
